Word,Frequency,Model,Part of Speech
operation,103,KOSE500ESS,NN
check,102,KOSE507ESS,NN
decided,102,KOSE507ESS,VBD
efficient,102,KOSE500ESS,NN
received,102,JTS3000SNSS,VBN
stay,101,JTS3000SNSS,NN
actually,101,KOSE507ESS,RB
trim,101,JTS3000SNSS,NN
suggestion,101,JTS3000SNSS,NN
recently,99,KOSE507ESS,RB
noise,99,KOSE500ESS,NN
thermometer,99,LWD3063ST,NN
order,98,KOSE500ESS,NN
loving,98,KOSE500ESS,VBG
surprised,98,LWD3063ST,JJ
away,98,KOSE507ESS,RB
warm,98,KOSE500ESS,NN
capability,97,JTS3000SNSS,NN
hope,96,JTS3000SNSS,NN
someone,96,KOSE507ESS,NN
loved,95,KOSE500ESS,VBN
wrong,94,LWD3063ST,JJ
larger,94,LWD3063ST,JJR
dishwasher,94,LWD3063ST,NN
preheating,94,KOSE500ESS,VBG
point,94,JTS3000SNSS,NN
later,94,KOSE500ESS,RB
allows,93,KOSE500ESS,NNS
taking,93,JTS3000SNSS,VBG
alert,93,LWS3063BD,NN
making,93,KOSE500ESS,VBG
ready,93,KOSE500ESS,JJ
coming,93,JTS3000SNSS,VBG
handle,92,LWD3063ST,NN
seem,92,LWD3063ST,NN
press,92,LWS3063BD,NN
knob,91,LWS3063BD,NN
place,91,EW27EW65PS,NN
people,91,JTS3000SNSS,NNS
get,91,KOSE500ESS,VB
show,91,KOSE507ESS,NN
water,91,JTS3000SNSS,NN
adjust,90,LWD3063ST,NN
power,90,KOSE500ESS,NN
expectation,90,KOSE500ESS,NN
money,90,LWD3063ST,NN
chance,89,KOSE507ESS,NN
program,89,LWD3063ST,NN
christmas,89,LWD3063ST,NN
around,89,JTS3000SNSS,IN
attractive,88,KOSE507ESS,JJ
often,88,PTS7000SNSS,RB
window,88,KOSE507ESS,NN
performs,87,LWD3063ST,NNS
connectivity,87,KOSE500ESS,NN
fit,87,JTS3000SNSS,NN
short,86,JTS3000SNSS,JJ
alexa,86,JTS3000SNSS,NN
past,86,LWD3063ST,NN
fixed,86,LWD3063ST,VBN
stop,85,LWD3063ST,NN
full,84,LWD3063ST,JJ
interface,84,LWS3063BD,NN
meat,84,LWD3063ST,NN
true,84,KOSE500ESS,JJ
delivered,84,KOSE500ESS,VBN
offer,84,KOSE500ESS,NN
piece,84,KOSE500ESS,NN
excited,83,KOSE507ESS,VBN
otherwise,83,KOSE500ESS,RB
date,83,LWD3063ST,NN
remotely,82,JTS3000SNSS,RB
online,82,KOSE500ESS,NN
move,82,KOSE500ESS,NN
insight,82,NV51T5511SS,NN
exactly,81,JTS3000SNSS,RB
noticed,81,LWD3063ST,VBN
left,81,JTS3000SNSS,NN
included,80,LWD3063ST,VBD
technician,80,KOSE500ESS,JJ
cake,80,LWD3063ST,NN
life,79,LWD3063ST,NN
software,79,PTS7000SNSS,NN
notifies,79,NV51T5511SS,NNS
watch,78,LWD3063ST,NN
depot,78,WOS51EC0HW,NN
sliding,78,LWD3063ST,VBG
breaker,78,LWS3063BD,NN
step,78,LWD3063ST,NN
remove,78,LWD3063ST,VB
ordered,77,LWD3063ST,VBN
improvement,76,JTS3000SNSS,NN
chose,76,JTS3000SNSS,NN
heavy,76,JTS3000SNSS,JJ
amount,76,JTS3000SNSS,NN
brown,76,NV51K7770SS,NN
beautifully,75,JTS3000SNSS,RB
spot,75,JTS3000SNSS,NN
direct,75,JTS3000SNSS,JJ
close,74,LWD3063ST,RB
hen,74,JTS3000SNSS,NN
added,74,LWD3063ST,VBD
slow,74,KOSE500ESS,VB
fingerprint,74,LWS3063BD,NN
sale,74,JTS3000SNSS,NN
installer,74,JTS3000SNSS,NN
system,73,KOSE507ESS,NN
twice,73,KOSE507ESS,RB
vent,73,JTS3000SNSS,NN
style,72,KOSE507ESS,NN
except,72,LWD3063ST,IN
reset,72,LWD3063ST,NN
company,72,LWD3063ST,NN
whole,72,JTS3000SNSS,JJ
blasted,72,JTS3000SNSS,VBN
reconnected,72,JTS3000SNSS,VBN
hello,72,JTS3000SNSS,NN
cornish,72,JTS3000SNSS,NN
basting,72,JTS3000SNSS,NN
completely,71,LWD3063ST,RB
package,71,KOSE500ESS,NN
say,71,LWD3063ST,VB
roll,71,LWD3063ST,NN
tray,71,LWD3063ST,NN
either,71,KOSE507ESS,DT
within,70,JTS3000SNSS,IN
gotten,70,LWS3063BD,NNS
internet,70,KOSE500ESS,NN
....,70,LWD3063ST,NN
outstanding,70,LWD3063ST,JJ
soon,69,KOSE507ESS,RB
complete,69,LWD3063ST,JJ
opened,69,JTS3000SNSS,VBN
half,69,JTS3000SNSS,NN
lock,69,JTS3000SNSS,NN
broiler,69,KOSE500ESS,NN
replacing,69,KOSE507ESS,VBG
chicken,69,NV51T5511DG,NN
friend,69,KOSE500ESS,NN
person,69,KOSE500ESS,NN
handy,69,KOSE507ESS,NN
finished,69,LWS3063BD,VBN
chime,68,JTS3000SNSS,NN
probably,68,LWD3063ST,RB
cost,68,JTS3000SNSS,NN
white,67,KOSE500ESS,JJ
appreciate,67,JTS3000SNSS,NN
proofing,67,LWS3063BD,VBG
main,67,JTS3000SNSS,JJ
hold,67,KOSE500ESS,NN
bright,66,LWD3063ST,NN
instead,66,JTS3000SNSS,RB
beep,66,LWS3063BD,NN
board,66,KOSE500ESS,NN
kid,66,LWS3063BD,NN
running,66,JTS3000SNSS,VBG
frying,66,JTS3000SNSS,VBG
counter,65,LWD3063ST,NN
care,65,JTS3000SNSS,NN
shut,65,KOSE500ESS,NN
existing,65,LWD3063ST,VBG
truly,65,JTS3000SNSS,RB
along,65,KOSE500ESS,IN
others,64,KOSE500ESS,NNS
difference,64,LWS3063BD,NN
including,63,LWD3063ST,VBG
idea,63,KOSE507ESS,NN
process,63,JTS3000SNSS,NN
although,63,LWD3063ST,IN
given,62,LWD3063ST,VBN
must,62,JTS3000SNSS,MD
learn,62,LWD3063ST,NN
alarm,62,LWS3063BD,NN
save,62,LWD3063ST,VB
unless,62,LWD3063ST,IN
requires,62,LWS3063BD,VBZ
important,62,LWS3063BD,JJ
directly,61,LWD3063ST,RB
recommended,61,LWD3063ST,VBN
roasting,61,JTS3000SNSS,VBG
team,61,KOSE500ESS,NN
standard,61,KOSE507ESS,NN
supposed,61,KOSE500ESS,VBN
direction,61,KOSE507ESS,NN
spacious,61,JTS3000SNSS,JJ
plenty,61,LWD3063ST,NN
died,61,LWS3063BD,VBD
level,61,LWD3063ST,NN
designed,60,LWS3063BD,VBN
maybe,60,KOSE500ESS,RB
run,60,JTS3000SNSS,VB
opportunity,60,KOSE500ESS,NN
louder,60,NV51T5511SS,NN
deal,59,LWD3063ST,NN
properly,59,KOSE500ESS,RB
additional,59,LWS3063BD,JJ
entire,59,JTS3000SNSS,JJ
dream,58,LWS3063BD,NN
enamel,58,LWD3063ST,NN
functional,58,LWS3063BD,JJ
live,58,LWD3063ST,JJ
message,58,LWS3063BD,NN
choose,58,JTS3000SNSS,NN
proof,58,LWD3063ST,NN
forever,58,LWD3063ST,RB
updated,58,JTS3000SNSS,VBN
mine,57,LWS3063BD,NN
advertised,57,KOSE500ESS,JJ
comment,57,LWD3063ST,NN
enjoyed,57,KOSE500ESS,VBN
http,57,LWS3063BD,NN
total,57,LWD3063ST,JJ
separate,56,LWD3063ST,JJ
huge,56,KOSE500ESS,JJ
test,56,LWD3063ST,NN
original,56,JTS3000SNSS,JJ
floor,56,KOSE500ESS,NN
reliable,56,LWD3063ST,JJ
sheet,55,LWD3063ST,NN
missing,55,KOSE500ESS,VBG
electrical,55,JTS3000SNSS,JJ
precision,55,NV51T5511SS,NN
warming,55,LWD3063ST,VBG
four,55,LWD3063ST,CD
reached,54,LWD3063ST,VBN
looked,54,KOSE507ESS,VBD
chemical,54,LWS3063BD,NN
leave,54,JTS3000SNSS,VB
pre-heat,54,JTS3000SNSS,NN
believe,54,LWS3063BD,VB
bonus,54,LWS3063BD,NN
whistle,54,KOSE507ESS,NN
spill,54,KOSE500ESS,NN
bell,54,KOSE507ESS,NN
metal,54,LWD3063ST,NN
consistent,54,LWS3063BD,NN
knew,53,KOSE507ESS,NNS
allow,53,LWD3063ST,VB
real,53,KOSE500ESS,JJ
changed,53,KOSE500ESS,VBN
information,53,LWD3063ST,NN
smell,52,LWD3063ST,NN
prior,52,JTS3000SNSS,RB
realize,52,NV51T5511SS,VB
divider,52,NV51T5511DG,NN
useful,52,LWS3063BD,JJ
convenience,52,LWS3063BD,NN
loaded,52,WOS51EC0HB,VBN
volume,52,NV51T5511DG,NN
frozen,52,LWS3063BD,NNS
matter,52,LWD3063ST,NN
push,52,LWD3063ST,NN
device,51,JTS3000SNSS,NN
internal,51,KOSE500ESS,JJ
area,51,KOSE500ESS,NN
broiling,51,KOSE500ESS,NN
notice,51,JTS3000SNSS,NN
basic,51,JTS3000SNSS,JJ
lighting,51,KOSE507ESS,VBG
else,51,JTS3000SNSS,RB
cover,50,LWD3063ST,NN
menu,50,JTS3000SNSS,NN
matching,50,KOSE500ESS,VBG
broken,50,LWD3063ST,NN
least,50,KOSE500ESS,JJS
quicker,50,LWD3063ST,NN
night,50,LWD3063ST,NN
appears,50,LWD3063ST,VBZ
sent,50,LWD3063ST,NN
adjustment,50,JTS3000SNSS,NN
turning,50,KOSE500ESS,VBG
similar,50,JTS3000SNSS,JJ
code,49,KOSE507ESS,NN
installers,49,EW27EW65PS,NNS
free,49,JTS3000SNSS,JJ
expensive,49,LWD3063ST,JJ
fire,49,JTS3000SNSS,NN
gorgeous,49,JTS3000SNSS,JJ
enabled,49,PTS7000SNSS,VBN
breeze,49,LWD3063ST,NN
conventional,48,LWD3063ST,JJ
construction,48,NV51K7770SS,NN
computer,48,LWD3063ST,NN
certainly,48,JTS3000SNSS,RB
nicely,48,KOSE507ESS,RB
let,48,NV51T5511SS,VB
desired,48,JTS3000SNSS,VBN
possible,47,LWD3063ST,JJ
waited,47,KOSE507ESS,VBD
fridge,47,KOSE507ESS,NN
glide,47,LWD3063ST,NN
stylish,47,LWD3063ST,NN
manually,47,NV51K7770SS,RB
hand,47,JTS3000SNSS,NN
speed,47,KOSE500ESS,NN
owner,46,KOSE507ESS,NN
spent,46,JTS3000SNSS,NN
kind,46,KOSE507ESS,NN
paid,46,LWD3063ST,NN
sensitive,46,JTS3000SNSS,JJ
figured,46,JTS3000SNSS,VBN
smaller,45,NV51K7770SS,JJR
dimension,45,LWD3063ST,NN
burned,45,LWD3063ST,VBN
reading,45,KOSE500ESS,NN
horrible,45,KOSE500ESS,JJ
required,45,KOSE500ESS,VBN
poor,45,JTS3000SNSS,JJ
gave,44,KOSE500ESS,VBD
hate,44,KOSE500ESS,NN
completed,44,LWD3063ST,VBN
contacted,44,LWD3063ST,VBN
navigate,44,LWS3063BD,NN
closed,44,LWD3063ST,VBD
provide,44,LWS3063BD,NN
expect,44,KOSE500ESS,VB
child,44,JTS3000SNSS,NN
us,44,LWS3063BD,PRP
play,44,JTS3000SNSS,NN
broke,44,LWD3063ST,NN
guess,44,KOSE507ESS,NN
lack,43,NV51K7770SS,NN
operating,43,LWS3063BD,NN
mostly,43,LWD3063ST,RB
electronic,43,LWD3063ST,JJ
rapid,43,WOS51EC0HB,JJ
research,43,LWD3063ST,NN
simply,43,LWS3063BD,RB
hoping,43,JTS3000SNSS,VBG
husband,42,LWD3063ST,NN
question,42,JTS3000SNSS,NN
picture,42,JTS3000SNSS,NN
switch,42,NV51T5511DG,NN
continues,42,JTS3000SNSS,VBZ
fairly,42,LWS3063BD,RB
buying,42,JTS3000SNSS,NN
continue,42,LWS3063BD,NN
remember,42,NV51K7770SS,VB
initially,42,LWD3063ST,RB
numerous,42,LWD3063ST,JJ
correctly,41,LWD3063ST,RB
summer,41,LWD3063ST,NN
follow,41,LWD3063ST,VB
plan,41,JTS3000SNSS,NN
potato,41,JTS3000SNSS,NN
ended,41,KOSE500ESS,VBN
contact,41,JTS3000SNSS,NN
fully,41,LWD3063ST,RB
repaired,41,LWD3063ST,VBN
middle,41,KOSE507ESS,NN
improved,41,LWS3063BD,VBN
trouble,40,JTS3000SNSS,NN
upgraded,40,KOSE500ESS,JJ
standing,40,LWD3063ST,VBG
higher,40,LWS3063BD,JJR
hearing,40,LWS3063BD,NN
recalibrate,40,JTS3000SNSS,NN
dual,40,LWS3063BD,JJ
remodeled,40,KOSE500ESS,VBN
mobile,40,WOS51EC0HB,NN
versatile,40,NV51K7770SS,NN
noisy,40,LWD3063ST,NN
happened,40,LWS3063BD,VBD
together,39,KOSE500ESS,RB
rather,39,KOSE500ESS,RB
minor,39,LWD3063ST,NN
apologize,39,KOSE500ESS,VB
stuck,39,KOSE500ESS,NN
consumer,39,LWD3063ST,NN
twitter,39,LWD3063ST,NN
limited,39,KOSE500ESS,JJ
exterior,39,JTS3000SNSS,NN
rated,39,LWD3063ST,VBN
responsive,39,WOS51EC0HW,NN
totally,38,KOSE500ESS,RB
might,38,KOSE500ESS,MD
providing,38,WOS72EC0HV,VBG
cancel,38,LWS3063BD,NN
biggest,38,LWD3063ST,JJS
daily,38,NV51K7770SS,JJ
convert,38,LWD3063ST,NN
slightly,38,LWD3063ST,RB
heated,38,LWS3063BD,VBN
return,38,JTS3000SNSS,NN
view,38,LWD3063ST,NN
sensor,38,JTS3000SNSS,NN
crazy,38,LWS3063BD,NN
based,38,JTS3000SNSS,VBN
arrived,38,NV51T5511SS,VBN
usually,37,LWD3063ST,RB
current,37,WOS51EC0HW,JJ
alling,37,JTS3000SNSS,VBG
eceives,37,JTS3000SNSS,NNS
today,37,JTS3000SNSS,NN
useless,37,LWS3063BD,NN
thus,37,KOSE500ESS,RB
delicious,37,LWD3063ST,JJ
fan,37,LWD3063ST,NN
ago-,37,JTS3000SNSS,NN
roller,37,LWD3063ST,NN
screw,37,LWD3063ST,NN
perfection,37,LWS3063BD,NN
glitch,37,PTS7000SNSS,NN
anymore,37,WOS51EC0HB,RB
future,37,KOSE500ESS,NN
access,37,LWD3063ST,NN
covered,37,LWD3063ST,VBN
stand,37,LWD3063ST,NN
thrilled,37,LWS3063BD,VBN
countertop,36,WOS51EC0HB,NN
respond,36,LWS3063BD,NN
removed,36,LWS3063BD,VBN
meet,36,LWD3063ST,NN
precise,36,WOS51EC0HB,NN
setup,36,LWS3063BD,NN
dark,36,JTS3000SNSS,NN
liked,36,LWS3063BD,VBN
send,36,LWD3063ST,NN
custom,36,LWS3063BD,NN
finger,36,LWS3063BD,NN
lovely,36,LWS3063BD,RB
arrive,36,KOSE500ESS,JJ
